metric,value,section
row_count,21597,overview
column_count,21,overview
duplicate_rows,0,overview
missing_required_columns,0,overview
yr_renovated,3842,missing
waterfront,2376,missing
view,63,missing
date,0,missing
id,0,missing
bathrooms,0,missing
bedrooms,0,missing
price,0,missing
sqft_lot,0,missing
floors,0,missing
condition,0,missing
grade,0,missing
sqft_living,0,missing
sqft_above,0,missing
sqft_basement,0,missing
yr_built,0,missing
zipcode,0,missing
lat,0,missing
long,0,missing
sqft_living15,0,missing
sqft_lot15,0,missing
price_non_positive,0,invalid
bedrooms_negative,0,invalid
bathrooms_negative,0,invalid
sqft_living_non_positive,0,invalid
sqft_lot_non_positive,0,invalid
floors_negative,0,invalid
grade_negative,0,invalid
sqft_above_non_positive,0,invalid
sqft_basement_negative,0,invalid
yr_built_negative,0,invalid
yr_renovated_negative,0,invalid
sqft_living15_non_positive,0,invalid
sqft_lot15_non_positive,0,invalid
waterfront_invalid,0,invalid
view_invalid,0,invalid
condition_invalid,0,invalid
grade_invalid,0,invalid
